# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  Johnson-Cousins
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = 0.150   Z = 0.0208100   Y = 0.27419542   Age (Myr) = 120.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        U       BX        B        V        R        I        J        H        K       L'        L        M
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.67945  3.46694   17.0657  15.9168  15.9377  14.6021  13.1460  11.3152   9.5170   8.8992   8.5831   8.3838   8.0958   8.1353
   0.1152828339   0.1152828339  -2.57905  3.47627   16.5542  15.4390  15.4606  14.1238  12.7412  10.9911   9.2865   8.6705   8.3622   8.1688   7.8950   7.9271
   0.1305656679   0.1305656679  -2.48979  3.48512   16.1044  15.0156  15.0379  13.7034  12.3830  10.7071   9.0821   8.4680   8.1675   7.9811   7.7197   7.7463
   0.1458485018   0.1458485018  -2.41308  3.49192   15.7494  14.6788  14.7016  13.3716  12.0945  10.4728   8.9043   8.2910   7.9970   7.8173   7.5644   7.5884
   0.1611313358   0.1611313358  -2.34504  3.49729   15.4545  14.3980  14.4211  13.0968  11.8518  10.2707   8.7452   8.1314   7.8428   7.6696   7.4226   7.4460
   0.1764141697   0.1764141697  -2.28386  3.50190   15.1982  14.1527  14.1760  12.8580  11.6389  10.0919   8.6020   7.9871   7.7030   7.5352   7.2938   7.3166
   0.1916970037   0.1916970037  -2.22850  3.50595   14.9725  13.9352  13.9587  12.6472  11.4495   9.9325   8.4726   7.8564   7.5759   7.4118   7.1768   7.1979
   0.2069798376   0.2069798376  -2.17732  3.50960   14.7686  13.7378  13.7613  12.4562  11.2768   9.7871   8.3533   7.7356   7.4580   7.2963   7.0682   7.0870
   0.2222626715   0.2222626715  -2.12961  3.51289   14.5833  13.5578  13.5814  12.2821  11.1186   9.6528   8.2415   7.6223   7.3475   7.1886   6.9663   6.9838
   0.2375455055   0.2375455055  -2.08498  3.51600   14.4124  13.3916  13.4153  12.1208  10.9721   9.5272   8.1364   7.5154   7.2437   7.0894   6.8705   6.8893
   0.2528283394   0.2528283394  -2.04272  3.51893   14.2537  13.2374  13.2612  11.9706  10.8356   9.4082   8.0358   7.4127   7.1447   6.9977   6.7788   6.8024
   0.2681111734   0.2681111734  -2.00289  3.52161   14.1084  13.0962  13.1201  11.8320  10.7099   9.2960   7.9398   7.3144   7.0507   6.9133   6.6913   6.7228
   0.2833940073   0.2833940073  -1.96491  3.52414   13.9731  12.9643  12.9884  11.7018  10.5917   9.1891   7.8476   7.2199   6.9606   6.8341   6.6072   6.6487
   0.2986768413   0.2986768413  -1.92935  3.52654   13.8491  12.8425  12.8668  11.5806  10.4816   9.0893   7.7612   7.1310   6.8762   6.7607   6.5283   6.5806
   0.3139596752   0.3139596752  -1.89245  3.52899   13.7240  12.7188  12.7432  11.4567  10.3687   8.9867   7.6715   7.0387   6.7885   6.6841   6.4461   6.5101
