source_id,phot_g_mean_mag,bp_rp,mg,parallax,parallax_error,ra,dec,pmra,pmdec,pmra_error,pmdec_error,radial_velocity,radial_velocity_error,e_bp_min_rp_val,a_g_val,l,b,ecl_lat,ecl_lon,cluster
3295878703753707136,12.467083,2.2197895,8.861232758479005,19.0033407699043,0.041828588264131626,70.51930971930038,11.920420081557653,85.44486272497096,-10.92908072295005,0.07127810621000329,0.04036432745256189,41.46278478808624,0.5977358577814013,0.141,0.2647,185.86111706717122,-21.816979911178088,-10.218960035362372,70.63670233939612,Hyades
3296045077903829888,13.831421,2.803402,10.402823072762796,20.619609435025012,0.045370829890941246,71.72077185456972,12.88377406519689,88.9545525014413,-18.57466005203842,0.09089648812230393,0.04462562754502374,,,,,185.75937210883683,-20.301749302880115,-9.417148206208969,71.94507661249466,Hyades
147232651433766528,12.920681,2.5341244,9.473846318282554,20.447163217031857,0.07412222191713569,70.8535833404585,24.29644822260485,91.40258837168864,-52.22235015682148,0.18061082957457697,0.07190212915734573,,,,,175.74088667580554,-14.022469759110393,2.0065955431787317,72.59544687216331,Hyades
147258180719392512,16.848091,3.9390535,13.741193341770071,23.912250038505363,0.13134424453446542,71.68807740907279,24.610906274580632,99.89515155863087,-62.424815107375956,0.24797772917184363,0.12252447275987881,,,0.185,0.3148,175.97753901773333,-13.23314502147829,2.2213842866722646,73.38958322582874,Hyades
3412605297699792512,9.477062,1.2565718,6.345562987849572,23.64286772615713,0.052667697120375216,71.7876776925247,20.882097147303092,98.42172222666501,-50.09611247081037,0.11077927936487894,0.047849571484485987,40.59094368913211,0.3046569602741636,0.1075,0.228,179.06349562579862,-15.463763406901958,-1.4897814881114262,73.01574737870597,Hyades
169163647804297216,17.395342,4.1238527,14.261638313391352,23.618879368542416,0.1500189330490635,62.43307230473109,31.929913107200345,131.30618839411113,-77.06089370354744,0.29732480426555513,0.1579217790431035,,,,,164.7685345401347,-14.397490887275085,10.717932913142171,66.4382938748664,Hyades
3411031385460853248,12.15475,2.5476112,8.706876937605102,20.43738910352982,0.06390685510495428,70.62666283749519,20.453011992530044,89.3185643740231,-37.71941548696258,0.16136172537269716,0.05977729111916341,,,,,178.71985635526912,-16.584056199630037,-1.776068273055268,71.88295165542343,Hyades
3411128795318922496,13.7909155,2.6917477,10.236421716241516,19.45813648833688,0.07447846267780406,70.74406856380068,20.604668624808316,82.27105843511247,-38.60603493857027,0.15587010738379664,0.06340362483383033,,,0.1767,0.3503,178.66653733479637,-16.403848087465818,-1.64020332835398,72.01196418434263,Hyades
3338650225766660992,14.273802,2.7770205,10.614472092269509,18.541038586559672,0.0671385265333328,79.06627942835796,9.446579670759688,58.90341140518967,-7.029256614369597,0.10568878832493665,0.07941811088226526,,,0.1252,0.175,192.98694917107727,-16.221120479024997,-13.572494447733204,78.90268108639371,Hyades
3285426613077584384,6.2509503,0.5683851,3.060438533473766,23.008994453379078,0.06883738371549578,68.02052089369975,5.410074542867973,112.5048853718854,7.577888509805425,0.12517907301475467,0.05635190528432384,41.469144768485094,0.46724590183463377,0.2903,0.5925,190.14609627666076,-27.591759408019854,-16.30314168344217,67.1563827634649,Hyades
