# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  Johnson-Cousins
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = 0.150   Z = 0.0208100   Y = 0.27419542   Age (Myr) = 1020.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        U       BX        B        V        R        I        J        H        K       L'        L        M
#========================================================================================================================================================================================================
   0.3292139616   0.3292139616  -1.92340  3.53047   13.7938  12.7766  12.8015  11.5047  10.4231   9.0538   7.7508   7.1181   6.8720   6.7729   6.5308   6.6023
   0.3359555487   0.3359555487  -1.90544  3.53142   13.7370  12.7202  12.7453  11.4482  10.3705   9.0057   7.7072   7.0734   6.8289   6.7334   6.4899   6.5656
   0.3426971358   0.3426971358  -1.88779  3.53235   13.6818  12.6652  12.6903  11.3929  10.3189   8.9586   7.6644   7.0295   6.7866   6.6944   6.4497   6.5293
   0.3494387229   0.3494387229  -1.87042  3.53326   13.6282  12.6115  12.6366  11.3387  10.2682   8.9125   7.6225   6.9865   6.7450   6.6557   6.4101   6.4935
   0.3561803100   0.3561803100  -1.85174  3.53438   13.5697  12.5521  12.5774  11.2787  10.2123   8.8626   7.5777   6.9404   6.7006   6.6145   6.3683   6.4561
   0.3629218971   0.3629218971  -1.83323  3.53549   13.5125  12.4937  12.5191  11.2193  10.1570   8.8135   7.5335   6.8948   6.6567   6.5734   6.3270   6.4188
   0.3696634842   0.3696634842  -1.81503  3.53657   13.4570  12.4366  12.4621  11.1612  10.1028   8.7655   7.4901   6.8501   6.6135   6.5326   6.2863   6.3818
   0.3764050713   0.3764050713  -1.79712  3.53760   13.4029  12.3807  12.4063  11.1044  10.0495   8.7184   7.4474   6.8061   6.5710   6.4920   6.2462   6.3451
   0.3831466584   0.3831466584  -1.77947  3.53859   13.3502  12.3261  12.3518  11.0488   9.9974   8.6723   7.4054   6.7628   6.5291   6.4517   6.2066   6.3085
   0.3898882455   0.3898882455  -1.76227  3.53956   13.2991  12.2728  12.2986  10.9946   9.9464   8.6275   7.3645   6.7206   6.4883   6.4122   6.1681   6.2727
   0.3966298326   0.3966298326  -1.74539  3.54050   13.2489  12.2205  12.2464  10.9413   9.8963   8.5835   7.3244   6.6792   6.4483   6.3733   6.1304   6.2374
   0.4033714197   0.4033714197  -1.72781  3.54160   13.1959  12.1646  12.1907  10.8843   9.8430   8.5376   7.2829   6.6363   6.4070   6.3329   6.0917   6.2012
   0.4101130068   0.4101130068  -1.70971  3.54285   13.1401  12.1054  12.1316  10.8238   9.7866   8.4901   7.2405   6.5922   6.3648   6.2916   6.0526   6.1646
   0.4168545940   0.4168545940  -1.69193  3.54409   13.0850  12.0469  12.0732  10.7641   9.7310   8.4434   7.1989   6.5489   6.3235   6.2506   6.0144   6.1283
   0.4235961811   0.4235961811  -1.67447  3.54530   13.0304  11.9889  12.0154  10.7053   9.6762   8.3976   7.1580   6.5064   6.2829   6.2102   5.9769   6.0924
